Image,Depth,ColorSpace,Size,FuzzErrorMetric,MeanSquareErrorMetric,PeakSignalToRatioErrorMetric,PerceptualErrorMetric,
pictures\2.hdr,10,YUV,11796480,0.000478,0.000000,66.415646,4.010869,
pictures\2.hdr,12,YUV,14155776,0.000148,0.000000,76.567073,5.422627,
pictures\3.hdr,32,RGB(A),10511662,,,,,
pictures\3.hdr,4,CMYK,6291456,0.013838,0.000191,37.178567,0.040541,
pictures\3.hdr,6,CMYK,9437184,0.003307,0.000011,49.611788,0.000107,
pictures\3.hdr,8,CMYK,12582912,0.000823,0.000001,61.687093,0.000007,
pictures\3.hdr,10,CMYK,15728640,0.000212,0.000000,73.480138,0.000021,
pictures\3.hdr,12,CMYK,18874368,0.000052,0.000000,85.607556,0.000002,
pictures\3.hdr,4,YCbC,4718592,0.021081,0.000444,33.522299,1.996896,
pictures\3.hdr,6,YCbC,7077888,0.005626,0.000032,44.995293,0.106418,
pictures\3.hdr,8,YCbC,9437184,0.001397,0.000002,57.097672,0.003428,
pictures\3.hdr,10,YCbC,11796480,0.000350,0.000000,69.116717,0.001433,
pictures\3.hdr,12,YCbC,14155776,0.000092,0.000000,80.705459,0.008106,
pictures\3.hdr,4,HCL,4718592,0.016525,0.000273,35.637155,1.502919,
pictures\3.hdr,6,HCL,7077888,0.004121,0.000017,47.699548,0.009502,
pictures\3.hdr,8,HCL,9437184,0.001026,0.000001,59.779371,0.000090,
pictures\3.hdr,10,HCL,11796480,0.000234,0.000000,72.604516,0.000009,
pictures\3.hdr,12,HCL,14155776,0.000059,0.000000,84.518491,0.000001,
pictures\3.hdr,4,Lab,4718592,0.026963,0.000727,31.384626,22.621927,
pictures\3.hdr,6,Lab,7077888,0.005682,0.000032,44.910004,1.271909,
pictures\3.hdr,8,Lab,9437184,0.001422,0.000002,56.942840,1.018172,
pictures\3.hdr,10,Lab,11796480,0.000354,0.000000,69.008253,0.981773,
pictures\3.hdr,12,Lab,14155776,0.000089,0.000000,80.991922,0.952711,
pictures\3.hdr,4,Luv,4718592,0.018881,0.000357,34.479312,8.949660,
pictures\3.hdr,6,Luv,7077888,0.005442,0.000030,45.284732,0.107726,
pictures\3.hdr,8,Luv,9437184,0.001346,0.000002,57.416973,1.020168,
pictures\3.hdr,10,Luv,11796480,0.000342,0.000000,69.322480,0.148392,
pictures\3.hdr,12,Luv,14155776,0.000084,0.000000,81.487097,0.383252,
pictures\3.hdr,4,RGB,4718592,0.019473,0.000379,34.211390,24.242716,
pictures\3.hdr,6,RGB,7077888,0.004558,0.000021,46.824973,2.779785,
pictures\3.hdr,8,RGB,9437184,0.001117,0.000001,59.041683,0.005590,
pictures\3.hdr,10,RGB,11796480,0.000253,0.000000,71.949367,0.002460,
pictures\3.hdr,12,RGB,14155776,0.000041,0.000000,87.779317,0.000079,
pictures\3.hdr,4,sRGB,4718592,0.013567,0.000184,37.350060,0.500281,
pictures\3.hdr,6,sRGB,7077888,0.003243,0.000011,49.780035,0.002719,
pictures\3.hdr,8,sRGB,9437184,0.000809,0.000001,61.841174,0.000266,
pictures\3.hdr,10,sRGB,11796480,0.000209,0.000000,73.594381,0.000125,
pictures\3.hdr,12,sRGB,14155776,0.000052,0.000000,85.702012,0.000003,
pictures\3.hdr,4,XYZ,4718592,0.035414,0.001254,29.016593,12.036619,
pictures\3.hdr,6,XYZ,7077888,0.011641,0.000136,38.680043,8.022808,
pictures\3.hdr,8,XYZ,9437184,0.005473,0.000030,45.235204,0.327270,
pictures\3.hdr,10,XYZ,11796480,0.004731,0.000022,46.500094,0.131835,
pictures\3.hdr,12,XYZ,14155776,0.004683,0.000022,46.589735,0.118420,
pictures\3.hdr,4,YCC,4718592,0.054002,0.002916,25.351841,14.050912,
pictures\3.hdr,6,YCC,7077888,0.045588,0.002078,26.822971,11.508850,
pictures\3.hdr,8,YCC,9437184,0.045250,0.002048,26.887669,12.921227,
pictures\3.hdr,10,YCC,11796480,0.045229,0.002046,26.891740,12.949655,
pictures\3.hdr,12,YCC,14155776,0.045228,0.002046,26.891835,12.966544,
pictures\3.hdr,4,YPbPr,4718592,0.021081,0.000444,33.522299,1.996896,
pictures\3.hdr,6,YPbPr,7077888,0.005626,0.000032,44.995293,0.106418,
pictures\3.hdr,8,YPbPr,9437184,0.001397,0.000002,57.097672,0.003428,
pictures\3.hdr,10,YPbPr,11796480,0.000350,0.000000,69.116717,0.001433,
pictures\3.hdr,12,YPbPr,14155776,0.000092,0.000000,80.705459,0.008106,
pictures\3.hdr,4,YUV,4718592,0.019401,0.000376,34.243666,3.552754,
pictures\3.hdr,6,YUV,7077888,0.005366,0.000029,45.407399,1.557467,
pictures\3.hdr,8,YUV,9437184,0.001335,0.000002,57.487407,1.039948,
pictures\3.hdr,10,YUV,11796480,0.000365,0.000000,68.754596,0.994213,
pictures\3.hdr,12,YUV,14155776,0.000174,0.000000,75.182540,0.959700,
pictures\4.hdr,32,RGB(A),2241205,,,,,
pictures\4.hdr,4,CMYK,1384448,0.015976,0.000255,35.930908,2.109783,
pictures\4.hdr,6,CMYK,2076672,0.003831,0.000015,48.332823,0.601975,
pictures\4.hdr,8,CMYK,2768896,0.000949,0.000001,60.455531,0.011691,
pictures\4.hdr,10,CMYK,3461120,0.000246,0.000000,72.192975,0.000642,
pictures\4.hdr,12,CMYK,4153344,0.000059,0.000000,84.523730,0.001306,
pictures\4.hdr,4,YCbC,1038336,0.041408,0.001715,27.658282,107.003219,
pictures\4.hdr,6,YCbC,1557504,0.010057,0.000101,39.950890,10.011981,
pictures\4.hdr,8,YCbC,2076672,0.002520,0.000006,51.972452,12.597631,
pictures\4.hdr,10,YCbC,2595840,0.000638,0.000000,63.903147,2.672699,
pictures\4.hdr,12,YCbC,3115008,0.000163,0.000000,75.755202,0.289263,
pictures\4.hdr,4,HCL,1038336,0.015037,0.000226,36.456998,94.593236,
pictures\4.hdr,6,HCL,1557504,0.003742,0.000014,48.538610,2.571639,
pictures\4.hdr,8,HCL,2076672,0.000932,0.000001,60.611467,1.868451,
pictures\4.hdr,10,HCL,2595840,0.000235,0.000000,72.596583,0.000609,
pictures\4.hdr,12,HCL,3115008,0.000060,0.000000,84.455277,0.000205,
pictures\4.hdr,4,Lab,1038336,0.032129,0.001032,29.861958,79.596133,
pictures\4.hdr,6,Lab,1557504,0.007296,0.000053,42.738046,4.862348,
pictures\4.hdr,8,Lab,2076672,0.001795,0.000003,54.920383,1.802002,
pictures\4.hdr,10,Lab,2595840,0.000444,0.000000,67.045800,1.569150,
pictures\4.hdr,12,Lab,3115008,0.000111,0.000000,79.074215,1.552832,
pictures\4.hdr,4,Luv,1038336,0.024185,0.000585,32.328923,73.515881,
pictures\4.hdr,6,Luv,1557504,0.006953,0.000048,43.156526,13.578039,
pictures\4.hdr,8,Luv,2076672,0.001605,0.000003,55.889690,1.590179,
pictures\4.hdr,10,Luv,2595840,0.000520,0.000000,65.680411,1.855491,
pictures\4.hdr,12,Luv,3115008,0.000096,0.000000,80.329184,0.904132,
pictures\4.hdr,4,RGB,1038336,0.015158,0.000230,36.386998,71.979558,
pictures\4.hdr,6,RGB,1557504,0.004344,0.000019,47.241493,10.947809,
pictures\4.hdr,8,RGB,2076672,0.000966,0.000001,60.303481,3.394416,
pictures\4.hdr,10,RGB,2595840,0.000248,0.000000,72.114801,0.441829,
pictures\4.hdr,12,RGB,3115008,0.000058,0.000000,84.795640,0.012955,
pictures\4.hdr,4,sRGB,1038336,0.013950,0.000195,37.108480,8.412024,
pictures\4.hdr,6,sRGB,1557504,0.003325,0.000011,49.563568,1.628795,
pictures\4.hdr,8,sRGB,2076672,0.000820,0.000001,61.723309,0.021033,
pictures\4.hdr,10,sRGB,2595840,0.000218,0.000000,73.229149,0.000314,
pictures\4.hdr,12,sRGB,3115008,0.000052,0.000000,85.708295,0.000324,
pictures\4.hdr,4,XYZ,1038336,0.035205,0.001239,29.067865,41.729165,
pictures\4.hdr,6,XYZ,1557504,0.025830,0.000667,31.757545,34.183342,
pictures\4.hdr,8,XYZ,2076672,0.024698,0.000610,32.146860,9.038002,
pictures\4.hdr,10,XYZ,2595840,0.024597,0.000605,32.182294,5.437857,
pictures\4.hdr,12,XYZ,3115008,0.024592,0.000605,32.184137,5.614069,
pictures\4.hdr,4,YCC,1038336,0.046780,0.002188,26.598865,18.241358,
pictures\4.hdr,6,YCC,1557504,0.042464,0.001803,27.439609,6.617488,
pictures\4.hdr,8,YCC,2076672,0.042278,0.001787,27.477807,7.577280,
pictures\4.hdr,10,YCC,2595840,0.042265,0.001786,27.480440,7.344699,
pictures\4.hdr,12,YCC,3115008,0.042265,0.001786,27.480446,7.308783,
pictures\4.hdr,4,YPbPr,1038336,0.041408,0.001715,27.658282,107.003219,
pictures\4.hdr,6,YPbPr,1557504,0.010057,0.000101,39.950890,10.011981,
pictures\4.hdr,8,YPbPr,2076672,0.002520,0.000006,51.972452,12.597631,
pictures\4.hdr,10,YPbPr,2595840,0.000638,0.000000,63.903147,2.672699,
pictures\4.hdr,12,YPbPr,3115008,0.000163,0.000000,75.755202,0.289263,
pictures\4.hdr,4,YUV,1038336,0.030723,0.000944,30.250796,80.834178,
pictures\4.hdr,6,YUV,1557504,0.007387,0.000055,42.630843,14.359210,
pictures\4.hdr,8,YUV,2076672,0.001826,0.000003,54.769615,1.419502,
pictures\4.hdr,10,YUV,2595840,0.000468,0.000000,66.589212,1.653069,
pictures\4.hdr,12,YUV,3115008,0.000118,0.000000,78.579769,1.558828,
pictures\5.hdr,32,RGB(A),2404342,,,,,
pictures\5.hdr,4,CMYK,1384448,0.020184,0.000407,33.900034,1.665684,
pictures\5.hdr,6,CMYK,2076672,0.004724,0.000022,46.512974,0.002733,
pictures\5.hdr,8,CMYK,2768896,0.001171,0.000001,58.630475,0.000020,
pictures\5.hdr,10,CMYK,3461120,0.000299,0.000000,70.499522,0.000019,
pictures\5.hdr,12,CMYK,4153344,0.000074,0.000000,82.562880,0.000002,
pictures\5.hdr,4,YCbC,1038336,0.038741,0.001501,28.236641,43.039077,
pictures\5.hdr,6,YCbC,1557504,0.008563,0.000073,41.347120,0.974927,
pictures\5.hdr,8,YCbC,2076672,0.002120,0.000004,53.471471,0.028334,
pictures\5.hdr,10,YCbC,2595840,0.000533,0.000000,65.466153,0.005536,
pictures\5.hdr,12,YCbC,3115008,0.000136,0.000000,77.341139,0.000713,
pictures\5.hdr,4,HCL,1038336,0.020637,0.000426,33.707202,2.998939,
pictures\5.hdr,6,HCL,1557504,0.005532,0.000031,45.142720,0.221631,
pictures\5.hdr,8,HCL,2076672,0.001253,0.000002,58.043319,0.000147,
pictures\5.hdr,10,HCL,2595840,0.000297,0.000000,70.556584,0.000009,
pictures\5.hdr,12,HCL,3115008,0.000074,0.000000,82.557096,0.000002,
pictures\5.hdr,4,Lab,1038336,0.041352,0.001710,27.670066,99.223676,
pictures\5.hdr,6,Lab,1557504,0.008294,0.000069,41.624517,0.633136,
pictures\5.hdr,8,Lab,2076672,0.002054,0.000004,53.749454,0.333311,
pictures\5.hdr,10,Lab,2595840,0.000512,0.000000,65.822754,0.201920,
pictures\5.hdr,12,Lab,3115008,0.000128,0.000000,77.840985,0.163681,
pictures\5.hdr,4,Luv,1038336,0.032995,0.001089,29.631128,54.847875,
pictures\5.hdr,6,Luv,1557504,0.007786,0.000061,42.173447,3.413496,
pictures\5.hdr,8,Luv,2076672,0.001867,0.000003,54.575779,0.225777,
pictures\5.hdr,10,Luv,2595840,0.000497,0.000000,66.069635,0.006246,
pictures\5.hdr,12,Luv,3115008,0.000116,0.000000,78.718984,0.037241,
pictures\5.hdr,4,RGB,1038336,0.018514,0.000343,34.649902,3.050730,
pictures\5.hdr,6,RGB,1557504,0.004420,0.000020,47.092267,0.023484,
pictures\5.hdr,8,RGB,2076672,0.001127,0.000001,58.958195,0.002072,
