Image,Depth,ColorSpace,Size,FuzzErrorMetric,MeanSquareErrorMetric,PeakSignalToRatioErrorMetric,PerceptualErrorMetric,
pictures\Forest.hdr,6,sRGB,3144960,0.005206,0.000027,45.669990,0.000162,
pictures\Forest.hdr,8,sRGB,4193280,0.001300,0.000002,57.723128,0.000033,
pictures\Forest.hdr,10,sRGB,5241600,0.000335,0.000000,69.498439,0.000014,
pictures\Forest.hdr,12,sRGB,6289920,0.000082,0.000000,81.760040,0.000000,
pictures\Forest.hdr,4,XYZ,2096640,0.051733,0.002676,25.724721,15.178493,
pictures\Forest.hdr,6,XYZ,3144960,0.037648,0.001417,28.485190,16.409992,
pictures\Forest.hdr,8,XYZ,4193280,0.036786,0.001353,28.686353,22.317236,
pictures\Forest.hdr,10,XYZ,5241600,0.036718,0.001348,28.702340,21.362495,
pictures\Forest.hdr,12,XYZ,6289920,0.036719,0.001348,28.702213,21.828440,
pictures\Forest.hdr,4,YCC,2096640,0.089223,0.007961,20.990450,17.934160,
pictures\Forest.hdr,6,YCC,3144960,0.081652,0.006667,21.760636,24.917120,
pictures\Forest.hdr,8,YCC,4193280,0.081274,0.006605,21.800991,9.518578,
pictures\Forest.hdr,10,YCC,5241600,0.081244,0.006601,21.804209,9.559780,
pictures\Forest.hdr,12,YCC,6289920,0.081242,0.006600,21.804340,9.569034,
pictures\Forest.hdr,4,YPbPr,2096640,0.062589,0.003917,24.069997,15.509973,
pictures\Forest.hdr,6,YPbPr,3144960,0.015230,0.000232,36.346153,3.177680,
pictures\Forest.hdr,8,YPbPr,4193280,0.003793,0.000014,48.419672,8.739327,
pictures\Forest.hdr,10,YPbPr,5241600,0.000962,0.000001,60.335295,11.718235,
pictures\Forest.hdr,12,YPbPr,6289920,0.000248,0.000000,72.108132,4.049782,
pictures\Forest.hdr,4,YUV,2096640,0.046425,0.002155,26.665016,23.903807,
pictures\Forest.hdr,6,YUV,3144960,0.011242,0.000126,38.982929,16.791927,
pictures\Forest.hdr,8,YUV,4193280,0.002784,0.000008,51.107307,15.647104,
pictures\Forest.hdr,10,YUV,5241600,0.000705,0.000000,63.037107,15.385718,
pictures\Forest.hdr,12,YUV,6289920,0.000187,0.000000,74.563521,15.178685,
