Image;Depth;ColorSpace;Size;RGBFuzzErrorMetric;RGBMeanSquareErrorMetric;RGBPeakSignalToRatioErrorMetric;RGBPerceptualErrorMetric;LABFuzzErrorMetric;LABMeanSquareErrorMetric;LABPeakSignalToRatioErrorMetric;LABPerceptualErrorMetric;
2.hdr;4;XYZ;4718592;0.105637;0.011159;19.523638;21.303460;0.066665;0.004444;23.522045;23.710792;
2.hdr;6;XYZ;7077888;0.104757;0.010974;19.596363;13.107909;0.064782;0.004197;23.770926;16.891163;
2.hdr;8;XYZ;9437184;0.104644;0.010950;19.605747;14.500536;0.064827;0.004203;23.764879;15.805627;
2.hdr;10;XYZ;11796480;0.104628;0.010947;19.607039;14.836321;0.064838;0.004204;23.763409;15.653538;
2.hdr;4;YCC;4718592;0.199458;0.039783;14.002978;74.167578;0.090597;0.008208;20.857693;64.570317;
2.hdr;6;YCC;7077888;0.252047;0.063528;11.970374;29.307913;0.115433;0.013325;18.753421;30.821168;
2.hdr;8;YCC;9437184;0.291323;0.084869;10.712507;46.908189;0.138292;0.019125;17.184061;43.493186;
2.hdr;10;YCC;11796480;0.323986;0.104967;9.789488;82.295931;0.164380;0.027021;15.683025;70.458274;
2.hdr;4;YPbPr;4718592;0.318715;0.101579;9.931942;76.957221;0.161587;0.026110;15.831851;74.456543;
2.hdr;6;YPbPr;7077888;0.317670;0.100914;9.960483;75.945045;0.161096;0.025952;15.858291;77.724904;
2.hdr;8;YPbPr;9437184;0.317575;0.100854;9.963069;78.325198;0.160925;0.025897;15.867555;77.227315;
2.hdr;10;YPbPr;11796480;0.317366;0.100721;9.968792;78.451937;0.160887;0.025885;15.869577;77.195165;
2.hdr;4;YUV;4718592;0.323279;0.104509;9.808453;71.777924;0.161359;0.026037;15.844118;66.914356;
2.hdr;6;YUV;7077888;0.320521;0.102734;9.882876;74.916002;0.160775;0.025849;15.875641;68.314328;
2.hdr;8;YUV;9437184;0.321454;0.103333;9.857616;70.808871;0.160841;0.025870;15.872063;69.805591;
2.hdr;10;YUV;11796480;0.321592;0.103421;9.853897;74.029075;0.160824;0.025864;15.872968;68.830108;
3.hdr;32;RGB(A);10511662;;;;;;;;;
3.hdr;4;CMYK;6291456;0.013838;0.000191;37.178567;0.040541;0.011874;0.000141;38.508100;0.062436;
3.hdr;6;CMYK;9437184;0.014367;0.000206;36.852960;0.138432;0.012169;0.000148;38.294981;0.116794;
3.hdr;8;CMYK;12582912;0.014601;0.000213;36.712398;0.175494;0.012330;0.000152;38.180955;0.163038;
3.hdr;10;CMYK;15728640;0.014664;0.000215;36.674768;0.186322;0.012374;0.000153;38.149813;0.171334;
3.hdr;4;YCbC;4718592;0.026921;0.000725;31.398279;11.470191;0.022631;0.000512;32.906038;6.147550;
3.hdr;6;YCbC;7077888;0.028443;0.000809;30.920548;17.616827;0.023507;0.000553;32.575959;13.630232;
3.hdr;8;YCbC;9437184;0.029066;0.000845;30.732315;25.760290;0.023873;0.000570;32.441697;21.898854;
3.hdr;10;YCbC;11796480;0.029232;0.000854;30.682906;21.793260;0.023969;0.000575;32.406829;23.452962;
3.hdr;4;HCL;4718592;0.029454;0.000868;30.617069;11.956012;0.024823;0.000616;32.103061;12.897920;
3.hdr;6;HCL;7077888;0.030050;0.000903;30.443126;8.627759;0.025117;0.000631;32.000600;9.909201;
3.hdr;8;HCL;9437184;0.030298;0.000918;30.371592;7.855499;0.025218;0.000636;31.965659;8.807824;
3.hdr;10;HCL;11796480;0.030361;0.000922;30.353608;7.702455;0.025263;0.000638;31.950391;8.041706;
3.hdr;4;Lab;4718592;0.039005;0.001521;28.177530;23.641548;0.032502;0.001056;29.761743;20.499590;
3.hdr;6;Lab;7077888;0.042644;0.001819;27.402747;43.225266;0.034446;0.001187;29.257187;33.225673;
3.hdr;8;Lab;9437184;0.043718;0.001911;27.186841;47.444024;0.035016;0.001226;29.114723;37.239647;
3.hdr;10;Lab;11796480;0.043985;0.001935;27.133988;48.275168;0.035161;0.001236;29.078716;38.330949;
3.hdr;4;Luv;4718592;0.054078;0.002924;25.339645;8.650437;0.036481;0.001331;28.758716;6.988224;
3.hdr;6;Luv;7077888;0.052587;0.002765;25.582351;6.428637;0.036367;0.001323;28.785840;10.680901;
3.hdr;8;Luv;9437184;0.052432;0.002749;25.608045;6.264900;0.036420;0.001326;28.773296;5.099915;
3.hdr;10;Luv;11796480;0.052381;0.002744;25.616476;6.165677;0.036437;0.001328;28.769147;5.051814;
3.hdr;4;RGB;4718592;0.056915;0.003239;24.895538;13.940491;0.058612;0.003435;24.640279;12.277056;
3.hdr;6;RGB;7077888;0.057146;0.003266;24.860354;16.325017;0.058997;0.003481;24.583450;12.982899;
3.hdr;8;RGB;9437184;0.057240;0.003276;24.846067;17.509587;0.059130;0.003496;24.563825;13.138914;
3.hdr;10;RGB;11796480;0.057265;0.003279;24.842224;17.921787;0.059164;0.003500;24.558791;13.238466;
3.hdr;4;sRGB;4718592;0.061755;0.003814;24.186574;27.700569;0.060215;0.003626;24.405898;20.252345;
3.hdr;6;sRGB;7077888;0.060941;0.003714;24.301790;24.351312;0.059831;0.003580;24.461455;18.867637;
3.hdr;8;sRGB;9437184;0.060771;0.003693;24.326003;23.837174;0.059758;0.003571;24.472140;31.698736;
3.hdr;10;sRGB;11796480;0.060732;0.003688;24.331717;23.726227;0.059743;0.003569;24.474310;18.485201;
3.hdr;4;XYZ;4718592;0.077156;0.005953;22.252655;15.860914;0.070063;0.004909;23.090269;14.777972;
3.hdr;6;XYZ;7077888;0.076009;0.005777;22.382671;14.392918;0.066419;0.004411;23.554214;16.753139;
3.hdr;8;XYZ;9437184;0.075880;0.005758;22.397449;14.560337;0.066488;0.004421;23.545192;18.135011;
3.hdr;10;XYZ;11796480;0.075856;0.005754;22.400219;14.616074;0.066505;0.004423;23.542852;17.568967;
3.hdr;4;YCC;4718592;0.147710;0.021818;16.611812;31.620427;0.085136;0.007248;21.397760;37.125001;
3.hdr;6;YCC;7077888;0.189703;0.035987;14.438531;16.393911;0.107891;0.011640;19.340320;16.983075;
3.hdr;8;YCC;9437184;0.227571;0.051789;12.857653;26.517868;0.131106;0.017189;17.647561;27.555244;
3.hdr;10;YCC;11796480;0.267782;0.071707;11.444381;42.268621;0.159773;0.025527;15.929952;36.898445;
3.hdr;4;YPbPr;4718592;0.267229;0.071411;11.462339;35.695626;0.159063;0.025301;15.968596;28.067492;
3.hdr;6;YPbPr;7077888;0.266258;0.070893;11.493958;33.464156;0.157958;0.024951;16.029161;40.168694;
3.hdr;8;YPbPr;9437184;0.266177;0.070850;11.496582;37.252164;0.157749;0.024885;16.040682;29.841065;
3.hdr;10;YPbPr;11796480;0.266049;0.070782;11.500763;37.271686;0.157722;0.024876;16.042172;29.902784;
3.hdr;4;YUV;4718592;0.271874;0.073916;11.312641;32.166286;0.157258;0.024730;16.067745;23.424675;
3.hdr;6;YUV;7077888;0.269241;0.072491;11.397166;35.694351;0.156359;0.024448;16.117523;26.225674;
3.hdr;8;YUV;9437184;0.269666;0.072720;11.383486;29.566150;0.156318;0.024435;16.119836;29.007199;
3.hdr;10;YUV;11796480;0.269733;0.072756;11.381312;35.303728;0.156286;0.024425;16.121606;25.390813;
4.hdr;32;RGB(A);2241205;;;;;;;;;
4.hdr;4;CMYK;1384448;0.015976;0.000255;35.930908;2.109783;0.010924;0.000119;39.232036;2.130961;
4.hdr;6;CMYK;2076672;0.016107;0.000259;35.859858;2.489270;0.011311;0.000128;38.929819;2.222746;
4.hdr;8;CMYK;2768896;0.016222;0.000263;35.798114;2.810037;0.011487;0.000132;38.795874;1.915611;
4.hdr;10;CMYK;3461120;0.016255;0.000264;35.780320;2.840535;0.011536;0.000133;38.758990;2.702248;
4.hdr;4;YCbC;1038336;0.043267;0.001872;27.276916;112.837296;0.024064;0.000579;32.372682;72.225257;
4.hdr;6;YCbC;1557504;0.045389;0.002060;26.861017;110.931606;0.027325;0.000747;31.268949;84.371619;
4.hdr;8;YCbC;2076672;0.047207;0.002229;26.519837;119.872173;0.028031;0.000786;31.047103;90.264769;
4.hdr;10;YCbC;2595840;0.047668;0.002272;26.435410;123.197027;0.028206;0.000796;30.993228;90.283603;
4.hdr;4;HCL;1038336;0.043989;0.001935;27.133189;126.330942;0.031395;0.000986;30.062830;82.003380;
4.hdr;6;HCL;1557504;0.040051;0.001604;27.947781;98.376678;0.030928;0.000957;30.192908;73.137599;
4.hdr;8;HCL;2076672;0.040114;0.001609;27.934067;97.917257;0.030630;0.000938;30.277164;72.238596;
4.hdr;10;HCL;2595840;0.040124;0.001610;27.931836;98.168502;0.030559;0.000934;30.297194;72.038962;
4.hdr;4;Lab;1038336;0.056979;0.003247;24.885775;58.019844;0.033483;0.001121;29.503426;72.161308;
4.hdr;6;Lab;1557504;0.060851;0.003703;24.314653;53.923493;0.037477;0.001405;28.524719;83.325484;
4.hdr;8;Lab;2076672;0.063263;0.004002;23.976964;57.166493;0.038476;0.001480;28.296175;86.420935;
4.hdr;10;Lab;2595840;0.063826;0.004074;23.900043;57.924962;0.038724;0.001500;28.240454;87.257276;
4.hdr;4;Luv;1038336;0.084918;0.007211;21.420024;118.448932;0.040787;0.001664;27.789527;108.329126;
4.hdr;6;Luv;1557504;0.080069;0.006411;21.930690;106.249952;0.040744;0.001660;27.798675;101.445535;
4.hdr;8;Luv;2076672;0.081654;0.006667;21.760421;109.172511;0.040921;0.001675;27.761145;102.251090;
4.hdr;10;Luv;2595840;0.081704;0.006676;21.755160;109.922418;0.040987;0.001680;27.747036;104.589610;
4.hdr;4;RGB;1038336;0.091806;0.008428;20.742566;97.226668;0.067444;0.004549;23.421082;89.771510;
4.hdr;6;RGB;1557504;0.093791;0.008797;20.556800;95.150206;0.066862;0.004470;23.496446;88.999662;
4.hdr;8;RGB;2076672;0.094271;0.008887;20.512393;94.902245;0.066733;0.004453;23.513224;88.858945;
4.hdr;10;RGB;2595840;0.094390;0.008909;20.501484;94.851131;0.066700;0.004449;23.517460;88.832819;
4.hdr;4;sRGB;1038336;0.075994;0.005775;22.384432;96.733527;0.065536;0.004295;23.670449;89.119152;
4.hdr;6;sRGB;1557504;0.074237;0.005511;22.587594;98.859602;0.065679;0.004314;23.651427;90.475324;
4.hdr;8;sRGB;2076672;0.073843;0.005453;22.633849;99.529256;0.065719;0.004319;23.646240;90.490101;
4.hdr;10;sRGB;2595840;0.073747;0.005439;22.645080;99.697116;0.065729;0.004320;23.644861;90.919459;
4.hdr;4;XYZ;1038336;0.078774;0.006205;22.072336;100.454401;0.071555;0.005120;22.907202;97.130870;
4.hdr;6;XYZ;1557504;0.077642;0.006028;22.198036;105.581697;0.072004;0.005185;22.852840;99.592959;
4.hdr;8;XYZ;2076672;0.077293;0.005974;22.237237;103.661589;0.072465;0.005251;22.797412;101.619083;
4.hdr;10;XYZ;2595840;0.077206;0.005961;22.246992;103.893811;0.072212;0.005215;22.827817;100.985881;
4.hdr;4;YCC;1038336;0.114412;0.013090;18.830604;131.771182;0.097316;0.009470;20.236306;120.964633;
4.hdr;6;YCC;1557504;0.202944;0.041186;13.852493;174.353494;0.134286;0.018033;17.439377;162.675303;
4.hdr;8;YCC;2076672;0.264612;0.070020;11.547809;195.351907;0.152811;0.023351;16.316930;196.491770;
4.hdr;10;YCC;2595840;0.309391;0.095723;10.189834;203.502168;0.168244;0.028306;15.481231;200.751020;
4.hdr;4;YPbPr;1038336;0.307785;0.094732;10.235038;212.390945;0.168515;0.028397;15.467248;196.886727;
4.hdr;6;YPbPr;1557504;0.310913;0.096667;10.147234;214.135789;0.169592;0.028761;15.411904;198.162866;
4.hdr;8;YPbPr;2076672;0.310872;0.096642;10.148362;215.152420;0.169688;0.028794;15.406957;199.032340;
4.hdr;10;YPbPr;2595840;0.311019;0.096733;10.144264;215.379766;0.169740;0.028812;15.404324;201.392635;
4.hdr;4;YUV;1038336;0.284423;0.080897;10.920700;205.785887;0.161891;0.026209;15.815529;190.852084;
4.hdr;6;YUV;1557504;0.281035;0.078980;11.024805;204.380566;0.160631;0.025802;15.883391;190.219279;
4.hdr;8;YUV;2076672;0.280573;0.078721;11.039073;204.398293;0.160401;0.025728;15.895881;191.562842;
4.hdr;10;YUV;2595840;0.280477;0.078667;11.042064;203.366248;0.160340;0.025709;15.899140;193.937887;
5.hdr;32;RGB(A);2404342;;;;;;;;;
5.hdr;4;CMYK;1384448;0.020184;0.000407;33.900034;1.665684;0.012028;0.000145;38.396261;0.884207;
5.hdr;6;CMYK;2076672;0.020987;0.000440;33.561047;1.534917;0.012163;0.000148;38.299078;0.855288;
5.hdr;8;CMYK;2768896;0.021312;0.000454;33.427340;1.534726;0.012268;0.000151;38.224593;0.697636;
5.hdr;10;CMYK;3461120;0.021400;0.000458;33.391835;1.527635;0.012298;0.000151;38.203518;0.713705;
