Image;Depth;ColorSpace;Size;RGBFuzzErrorMetric;RGBMeanSquareErrorMetric;RGBPeakSignalToRatioErrorMetric;RGBPerceptualErrorMetric;LABFuzzErrorMetric;LABMeanSquareErrorMetric;LABPeakSignalToRatioErrorMetric;LABPerceptualErrorMetric;
BigFog.hdr;4;RGB;1216620;0.051044;0.002605;25.841125;63.695044;0.061488;0.003781;24.224183;59.913204;
BigFog.hdr;6;RGB;1824930;0.050693;0.002570;25.901090;68.176210;0.061155;0.003740;24.271300;58.642731;
BigFog.hdr;8;RGB;2433240;0.050644;0.002565;25.909468;64.899437;0.061105;0.003734;24.278408;58.406557;
BigFog.hdr;10;RGB;3041550;0.050634;0.002564;25.911182;64.406707;0.061094;0.003732;24.280039;58.328082;
BigFog.hdr;4;sRGB;1216620;0.054665;0.002988;25.245803;52.997881;0.061470;0.003779;24.226783;53.027961;
BigFog.hdr;6;sRGB;1824930;0.054039;0.002920;25.345775;53.523654;0.061402;0.003770;24.236375;53.564762;
BigFog.hdr;8;sRGB;2433240;0.053912;0.002906;25.366338;53.593488;0.061398;0.003770;24.236949;37.012787;
BigFog.hdr;10;sRGB;3041550;0.053882;0.002903;25.371170;53.617245;0.061400;0.003770;24.236618;53.135608;
BigFog.hdr;4;XYZ;1216620;0.070369;0.004952;23.052331;58.485759;0.072275;0.005224;22.820293;50.169633;
BigFog.hdr;6;XYZ;1824930;0.068733;0.004724;23.256677;54.198561;0.068596;0.004705;23.274019;45.440539;
BigFog.hdr;8;XYZ;2433240;0.068512;0.004694;23.284640;52.911574;0.068517;0.004695;23.284081;49.681414;
BigFog.hdr;10;XYZ;3041550;0.068465;0.004687;23.290630;53.033604;0.068500;0.004692;23.286182;49.798438;
BigFog.hdr;4;YCC;1216620;0.130896;0.017134;17.661471;30.794033;0.082404;0.006790;21.681019;31.443780;
BigFog.hdr;6;YCC;1824930;0.162433;0.026385;15.786501;38.307717;0.100595;0.010119;19.948450;38.359284;
BigFog.hdr;8;YCC;2433240;0.187868;0.035294;14.522948;64.625833;0.119730;0.014335;18.435935;59.305555;
BigFog.hdr;10;YCC;3041550;0.222338;0.049434;13.059713;82.893587;0.145046;0.021038;16.769896;79.372844;
BigFog.hdr;4;YPbPr;1216620;0.224938;0.050597;12.958725;91.704580;0.144240;0.020805;16.818314;86.845446;
BigFog.hdr;6;YPbPr;1824930;0.224198;0.050265;12.987380;76.996004;0.143202;0.020507;16.880993;71.163042;
BigFog.hdr;8;YPbPr;2433240;0.224041;0.050195;12.993436;94.215070;0.142970;0.020440;16.895105;88.982330;
BigFog.hdr;10;YPbPr;3041550;0.223924;0.050142;12.997990;94.062030;0.142938;0.020431;16.897034;88.762440;
BigFog.hdr;4;YUV;1216620;0.228988;0.052435;12.803750;84.407766;0.142704;0.020365;16.911252;79.287811;
BigFog.hdr;6;YUV;1824930;0.227013;0.051535;12.878986;80.422136;0.141651;0.020065;16.975637;76.121506;
BigFog.hdr;8;YUV;2433240;0.227563;0.051785;12.857953;68.111140;0.141656;0.020066;16.975294;63.021856;
BigFog.hdr;10;YUV;3041550;0.227651;0.051825;12.854595;86.175954;0.141619;0.020056;16.977546;80.948897;
Forest.hdr;32;RGB(A);5591117;;;;;;;;;
Forest.hdr;4;CMYK;2795520;0.024647;0.000607;32.164766;0.002998;0.008675;0.000075;41.234487;0.003092;
Forest.hdr;6;CMYK;4193280;0.025375;0.000644;31.911921;0.006832;0.008826;0.000078;41.084910;0.006890;
Forest.hdr;8;CMYK;5591040;0.025724;0.000662;31.793396;0.008992;0.008921;0.000080;40.992061;0.009325;
Forest.hdr;10;CMYK;6988800;0.025819;0.000667;31.761190;0.009610;0.008947;0.000080;40.966395;0.009996;
Forest.hdr;4;YCbC;2096640;0.068566;0.004701;23.277807;21.297614;0.018302;0.000335;34.750242;14.850973;
Forest.hdr;6;YCbC;3144960;0.070602;0.004985;23.023683;27.311115;0.019768;0.000391;34.080964;17.495517;
Forest.hdr;8;YCbC;4193280;0.072875;0.005311;22.748380;22.475615;0.020278;0.000411;33.859512;18.294633;
Forest.hdr;10;YCbC;5241600;0.073460;0.005396;22.678942;22.769510;0.020336;0.000414;33.834849;18.495771;
Forest.hdr;4;HCL;2096640;0.070396;0.004956;23.049065;24.443222;0.022368;0.000500;33.007385;16.316196;
Forest.hdr;6;HCL;3144960;0.066083;0.004367;23.598203;20.736811;0.022158;0.000491;33.089304;11.223307;
Forest.hdr;8;HCL;4193280;0.066333;0.004400;23.565371;20.216451;0.022090;0.000488;33.116014;10.836012;
Forest.hdr;10;HCL;5241600;0.066400;0.004409;23.556610;20.256033;0.022076;0.000487;33.121477;10.729231;
Forest.hdr;4;Lab;2096640;0.092003;0.008465;20.723930;28.831444;0.030570;0.000935;30.294172;59.601441;
Forest.hdr;6;Lab;3144960;0.096155;0.009246;20.340523;30.051668;0.033876;0.001148;29.402065;86.925773;
Forest.hdr;8;Lab;4193280;0.098839;0.009769;20.101419;30.234747;0.034724;0.001206;29.187401;92.572893;
Forest.hdr;10;Lab;5241600;0.099516;0.009903;20.042141;30.590120;0.034935;0.001220;29.134765;94.152071;
Forest.hdr;4;Luv;2096640;0.127571;0.016274;17.884967;60.244537;0.033528;0.001124;29.491890;47.968517;
Forest.hdr;6;Luv;3144960;0.120907;0.014618;18.351004;46.228813;0.032058;0.001028;29.881220;35.990808;
Forest.hdr;8;Luv;4193280;0.122892;0.015102;18.209531;48.656776;0.031997;0.001024;29.897906;35.107488;
Forest.hdr;10;Luv;5241600;0.122940;0.015114;18.206139;48.740119;0.031979;0.001023;29.902688;34.982120;
Forest.hdr;4;RGB;2096640;0.136375;0.018598;17.305318;53.988031;0.034388;0.001183;29.271878;43.335210;
Forest.hdr;6;RGB;3144960;0.139598;0.019488;17.102422;56.775699;0.034918;0.001219;29.139016;46.392111;
Forest.hdr;8;RGB;4193280;0.140369;0.019704;17.054561;57.478449;0.035051;0.001229;29.105881;47.208244;
Forest.hdr;10;RGB;5241600;0.140559;0.019757;17.042838;57.651000;0.035084;0.001231;29.097838;47.362043;
Forest.hdr;4;sRGB;2096640;0.118473;0.014036;18.527626;38.984559;0.035023;0.001227;29.113002;28.925657;
Forest.hdr;6;sRGB;3144960;0.116495;0.013571;18.673882;37.285208;0.034605;0.001198;29.217222;27.287866;
Forest.hdr;8;sRGB;4193280;0.116068;0.013472;18.705739;36.904374;0.034527;0.001192;29.236834;26.928788;
Forest.hdr;10;sRGB;5241600;0.115966;0.013448;18.713391;36.809148;0.034507;0.001191;29.241873;26.832295;
Forest.hdr;4;XYZ;2096640;0.123418;0.015232;18.172404;35.967051;0.043511;0.001893;27.228098;48.480158;
Forest.hdr;6;XYZ;3144960;0.120621;0.014549;18.371541;32.074431;0.042987;0.001848;27.333197;50.394269;
Forest.hdr;8;XYZ;4193280;0.120128;0.014431;18.407129;33.610014;0.043094;0.001857;27.311688;53.427822;
Forest.hdr;10;XYZ;5241600;0.120014;0.014403;18.415380;36.309468;0.043081;0.001856;27.314239;53.840579;
Forest.hdr;4;YCC;2096640;0.162331;0.026351;15.791951;77.055893;0.061581;0.003792;24.211022;57.620615;
Forest.hdr;6;YCC;3144960;0.235855;0.055628;12.547080;70.210518;0.087247;0.007612;21.184942;78.478433;
Forest.hdr;8;YCC;4193280;0.270998;0.073440;11.340684;72.912356;0.099598;0.009920;20.034947;79.197633;
Forest.hdr;10;YCC;5241600;0.287213;0.082491;10.835923;85.713040;0.109956;0.012090;19.175611;91.732990;
Forest.hdr;4;YPbPr;2096640;0.277618;0.077072;11.131048;67.786177;0.103021;0.010613;19.741517;61.278464;
Forest.hdr;6;YPbPr;3144960;0.277798;0.077172;11.125412;72.624735;0.103238;0.010658;19.723216;63.947923;
Forest.hdr;8;YPbPr;4193280;0.278411;0.077512;11.106287;77.666599;0.103243;0.010659;19.722792;65.575550;
Forest.hdr;10;YPbPr;5241600;0.278408;0.077511;11.106357;75.937759;0.103189;0.010648;19.727371;64.486272;
Forest.hdr;4;YUV;2096640;0.266983;0.071280;11.470344;65.444874;0.100287;0.010057;19.975103;65.291479;
Forest.hdr;6;YUV;3144960;0.268016;0.071832;11.436796;66.606712;0.100343;0.010069;19.970233;69.527461;
Forest.hdr;8;YUV;4193280;0.268690;0.072194;11.414981;69.967011;0.100367;0.010073;19.968208;62.797942;
Forest.hdr;10;YUV;5241600;0.268772;0.072238;11.412334;68.703066;0.100327;0.010066;19.971620;62.101481;
